	subject	object	local_mi
0	TWMET_00001	TWMET_00011	573872
1	TWMET_00001	TWMET_00411	468204
2	TWMET_00002	TWMET_00003	1834844
3	TWMET_00002	TWMET_00011	1551711
4	TWMET_00003	TWMET_00011	4386252
5	TWMET_00003	TWMET_00002	1834844
6	TWMET_00004	TWMET_00144	3126195
7	TWMET_00004	TWMET_00126	1161540
8	TWMET_00005	TWMET_00026	520104
9	TWMET_00005	TWMET_00019	498024
10	TWMET_00006	TWMET_00100	288724
11	TWMET_00006	TWMET_00941	166782
12	TWMET_00007	TWMET_00191	24076
13	TWMET_00007	TWMET_01153	22190
14	TWMET_00008	TWMET_00019	2529228
15	TWMET_00008	TWMET_00026	1865976
16	TWMET_00010	TWMET_00023	1429906
17	TWMET_00010	TWMET_00044	265487
18	TWMET_00011	TWMET_00003	4386252
19	TWMET_00011	TWMET_00550	3116232
20	TWMET_00012	TWMET_00020	753388
21	TWMET_00012	TWMET_00014	675616
22	TWMET_00014	TWMET_00020	702390
23	TWMET_00014	TWMET_00012	675616
24	TWMET_00015	TWMET_00086	670896
25	TWMET_00015	TWMET_00001	283770
26	TWMET_00016	TWMET_00005	275328
27	TWMET_00016	TWMET_00185	119248
28	TWMET_00017	TWMET_00125	1675170
29	TWMET_00017	TWMET_00214	1209153
30	TWMET_00018	TWMET_00103	1134856
31	TWMET_00018	TWMET_00021	698740
32	TWMET_00020	TWMET_00061	1410210
33	TWMET_00020	TWMET_00012	753388
34	TWMET_00021	TWMET_00018	698740
35	TWMET_00021	TWMET_00144	400640
36	TWMET_00022	TWMET_00867	584960
37	TWMET_00022	TWMET_00032	439233
38	TWMET_00023	TWMET_00010	1429906
39	TWMET_00023	TWMET_00002	223964
40	TWMET_00024	TWMET_00870	1150325
41	TWMET_00024	TWMET_00121	113643
42	TWMET_00025	TWMET_00240	6896682
43	TWMET_00025	TWMET_00119	386267
44	TWMET_00027	TWMET_00819	349800
45	TWMET_00027	TWMET_00093	239440
46	TWMET_00028	TWMET_00033	1805861
47	TWMET_00028	TWMET_00019	1193176
48	TWMET_00030	TWMET_00164	181236
49	TWMET_00030	TWMET_00031	106392
50	TWMET_00031	TWMET_00030	106392
51	TWMET_00031	TWMET_00103	85140
52	TWMET_00032	TWMET_00063	1137162
53	TWMET_00032	TWMET_00022	439233
54	TWMET_00033	TWMET_00028	1805861
55	TWMET_00033	TWMET_00008	424676
56	TWMET_00034	TWMET_00083	3733248
57	TWMET_00034	TWMET_00104	1932736
58	TWMET_00035	TWMET_00039	1324176
59	TWMET_00035	TWMET_01004	344880
60	TWMET_00036	TWMET_00403	62282
61	TWMET_00036	TWMET_00018	57303
62	TWMET_00037	TWMET_00083	1295177
63	TWMET_00037	TWMET_00034	1092630
64	TWMET_00039	TWMET_00035	1324176
65	TWMET_00039	TWMET_00129	206530
66	TWMET_00040	TWMET_00064	808928
